LotArea,Neighborhood,BldgType,YearBuilt,YearRemodAdd,MasVnrArea,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageCars,GarageArea,MoSold,YrSold,SalePrice,Siding
7449,IDOTRR,1Fam,1930,1950,0.0,637,Y,1108,0,1108,0,0,1,0,3,1,6,1,Attchd,1930.0,1,280,6,2007,139400,Wd Sdng
9742,CollgCr,1Fam,2002,2002,281.0,1777,Y,1795,0,1795,0,0,2,0,3,1,7,1,Attchd,2002.0,2,534,9,2008,230000,VinylSd
4224,MeadowV,TwnhsE,1976,1976,0.0,1040,Y,1060,0,1060,1,0,1,0,3,1,6,1,Attchd,1976.0,2,572,6,2007,129900,CemntBd
8246,Sawyer,1Fam,1968,2001,0.0,1060,Y,1060,0,1060,1,0,1,0,3,1,6,1,Attchd,1968.0,1,270,5,2010,154000,Plywood
14230,NridgHt,1Fam,2007,2007,640.0,1566,Y,1600,0,1600,0,0,2,0,3,1,7,1,Attchd,2007.0,3,890,7,2009,256300,VinylSd
7200,NAmes,1Fam,1951,2000,0.0,900,Y,900,0,900,0,1,1,0,3,1,5,0,Detchd,2005.0,2,576,5,2010,134800,Wd Sdng
11478,NridgHt,1Fam,2007,2008,200.0,1704,Y,1704,0,1704,1,0,2,0,3,1,7,1,Attchd,2008.0,3,772,5,2010,306000,VinylSd
16321,NAmes,1Fam,1957,1997,0.0,1484,Y,1600,0,1600,1,0,1,0,2,1,6,2,Attchd,1957.0,1,319,12,2006,207500,MetalSd
6324,BrkSide,1Fam,1927,1950,0.0,520,N,520,0,520,0,0,1,0,1,1,4,0,Detchd,1920.0,1,240,5,2008,68500,MetalSd
8500,IDOTRR,1Fam,1920,1950,0.0,649,N,649,668,1317,0,0,1,0,3,1,6,0,Detchd,1920.0,1,250,7,2008,40000,BrkFace
8544,Sawyer,1Fam,1966,2006,0.0,1228,Y,1228,0,1228,0,0,1,1,3,1,6,0,Attchd,1966.0,1,271,6,2008,149350,HdBoard
11049,CollgCr,1Fam,2007,2007,0.0,1234,Y,1234,0,1234,0,0,2,0,3,1,7,0,Attchd,2007.0,2,484,1,2008,179900,VinylSd
10552,NAmes,1Fam,1959,1959,0.0,1398,Y,1700,0,1700,0,1,1,1,4,1,6,1,Attchd,1959.0,2,447,4,2010,165500,BrkFace
7313,NridgHt,TwnhsE,2005,2005,246.0,1561,Y,1561,0,1561,1,0,2,0,2,1,6,1,Attchd,2005.0,2,556,8,2007,277500,MetalSd
13418,NridgHt,1Fam,2004,2005,132.0,1117,Y,1132,1320,2452,0,0,3,1,4,1,9,1,BuiltIn,2004.0,3,691,9,2006,309000,VinylSd
10859,CollgCr,1Fam,1994,1995,0.0,1097,Y,1097,0,1097,0,0,1,1,3,1,6,0,Attchd,1995.0,2,672,6,2009,145000,VinylSd
8532,NAmes,1Fam,1954,1990,650.0,1297,Y,1297,0,1297,0,1,1,0,3,1,5,1,Attchd,1954.0,2,498,10,2009,153000,Wd Sdng
7922,NAmes,1Fam,1953,2007,0.0,1057,Y,1057,0,1057,1,0,1,0,3,1,5,0,Detchd,1953.0,1,246,1,2010,109000,VinylSd
8658,NAmes,1Fam,1965,1965,101.0,1088,Y,1324,0,1324,0,0,2,0,3,1,6,1,Attchd,1965.0,2,440,12,2006,160000,Wd Sdng
16905,Timber,1Fam,1959,1959,0.0,1350,Y,1328,0,1328,0,1,1,1,2,1,5,2,Attchd,1959.0,1,308,7,2007,170000,VinylSd
9180,SawyerW,1Fam,1983,1983,0.0,840,Y,884,0,884,1,0,1,0,2,1,5,0,Attchd,1983.0,2,504,12,2007,144000,HdBoard
9200,CollgCr,1Fam,1975,1980,0.0,938,Y,938,0,938,1,0,1,0,3,1,5,0,Detchd,1977.0,1,308,7,2008,130250,VinylSd
7945,NAmes,1Fam,1959,1959,0.0,1150,Y,1150,0,1150,1,0,1,0,3,1,6,0,Attchd,1959.0,1,300,5,2006,141000,BrkFace
7658,NridgHt,TwnhsE,2005,2005,412.0,1752,Y,1752,0,1752,1,0,2,0,2,1,6,1,Attchd,2005.0,2,576,2,2010,319900,MetalSd
12822,Mitchel,1Fam,2003,2003,0.0,1434,Y,1518,631,2149,1,0,1,1,1,1,6,1,Attchd,2003.0,2,670,8,2009,239686,VinylSd
11096,Somerst,1Fam,2006,2006,0.0,1656,Y,1656,0,1656,0,0,2,0,3,1,7,0,Attchd,2006.0,3,826,7,2007,249700,VinylSd
7742,Sawyer,1Fam,1966,1966,0.0,955,Y,955,0,955,1,0,1,0,3,1,6,0,Attchd,1966.0,1,386,1,2007,127000,HdBoard
13869,Gilbert,1Fam,1997,1997,0.0,794,Y,794,676,1470,0,1,2,0,3,1,6,0,Attchd,1997.0,2,388,7,2007,177000,VinylSd
6240,BrkSide,1Fam,1934,1950,0.0,816,Y,816,0,1176,0,0,1,0,3,1,6,1,Detchd,1985.0,2,528,9,2006,114500,Wd Sdng
8472,IDOTRR,Duplex,1963,1963,0.0,816,N,816,0,816,1,0,1,0,2,1,5,0,CarPort,1963.0,2,516,5,2010,110000,Wd Sdng
7134,NAmes,1Fam,1955,1955,0.0,384,Y,1360,0,1360,0,0,1,0,3,1,6,1,Detchd,1962.0,2,572,2,2007,130000,MetalSd
10175,NAmes,1Fam,1964,1964,272.0,1425,Y,1425,0,1425,0,0,2,0,3,1,7,1,Attchd,1964.0,2,576,7,2008,180500,HdBoard
2645,Somerst,Twnhs,1999,2000,456.0,970,Y,983,756,1739,1,0,2,1,3,1,7,0,Attchd,1999.0,2,480,8,2009,172500,MetalSd
11645,CollgCr,1Fam,2004,2004,0.0,860,Y,860,860,1720,0,0,2,1,3,1,7,0,Attchd,2004.0,2,565,8,2006,196500,VinylSd
7200,CollgCr,1Fam,1972,1972,0.0,780,Y,780,0,780,0,0,1,0,2,1,4,0,Detchd,1973.0,1,352,1,2008,124900,HdBoard
13072,SawyerW,1Fam,2004,2004,0.0,1158,Y,1158,0,1158,1,0,1,1,3,1,5,0,Detchd,2006.0,2,576,5,2006,158000,VinylSd
7200,IDOTRR,1Fam,1920,1996,0.0,530,N,581,530,1111,0,0,1,0,3,1,6,0,Detchd,1935.0,1,288,3,2007,101000,MetalSd
6442,NridgHt,TwnhsE,2006,2006,178.0,1370,Y,1370,0,1370,0,0,2,0,2,1,6,1,Attchd,2006.0,2,484,10,2007,202500,VinylSd
10300,OldTown,1Fam,1921,1950,0.0,576,Y,902,808,1710,0,0,2,0,3,1,9,0,Detchd,1990.0,2,480,4,2010,140000,Stucco
9375,CollgCr,1Fam,1997,1998,573.0,1057,Y,1057,977,2034,1,0,2,1,3,1,8,0,Attchd,1998.0,2,645,2,2009,219500,VinylSd
9591,NridgHt,1Fam,2004,2005,344.0,1143,Y,1143,1330,2473,0,0,2,1,4,1,9,1,BuiltIn,2004.0,3,852,10,2007,317000,VinylSd
10665,CollgCr,1Fam,2003,2003,167.0,1453,Y,1479,0,1479,1,0,2,0,3,1,7,0,Attchd,2003.0,2,558,6,2007,226000,VinylSd
4608,OldTown,1Fam,1945,1950,0.0,747,Y,747,0,747,0,0,1,0,2,1,4,0,Attchd,1945.0,1,220,6,2010,80000,MetalSd
15593,ClearCr,1Fam,1953,1953,0.0,1304,Y,1304,983,2287,0,0,2,0,3,1,7,1,Attchd,1953.0,2,667,7,2006,225000,BrkFace
7599,Mitchel,1Fam,1982,2006,0.0,845,Y,845,0,845,1,0,1,0,2,1,4,0,Detchd,1987.0,2,360,6,2007,129500,HdBoard
10141,Gilbert,1Fam,1998,1998,40.0,832,Y,885,833,1718,0,0,2,1,3,1,7,1,Attchd,1998.0,2,427,12,2009,185000,VinylSd
10200,NAmes,1Fam,1954,2003,104.0,1086,Y,1086,0,1086,1,0,1,0,3,1,6,0,Attchd,1989.0,2,490,5,2010,144900,Wd Sdng
1596,MeadowV,Twnhs,1973,1973,0.0,462,Y,526,462,988,1,0,1,0,2,1,5,0,BuiltIn,1973.0,1,297,11,2009,91000,CemntBd
8475,NAmes,1Fam,1956,1956,0.0,952,Y,952,0,952,0,0,1,0,2,1,4,0,Detchd,1956.0,1,283,4,2008,135750,VinylSd
8635,BrkSide,1Fam,1948,2001,0.0,672,Y,1072,213,1285,1,0,1,0,2,1,6,0,Detchd,1948.0,1,240,1,2008,127000,Wd Sdng
10440,OldTown,1Fam,1910,1981,0.0,440,Y,682,548,1230,0,0,1,1,2,1,5,0,Detchd,1966.0,2,440,5,2009,110000,Wd Sdng
13000,NAmes,1Fam,1968,1968,576.0,896,Y,1182,960,2142,0,0,2,1,4,1,8,1,Attchd,1968.0,1,509,6,2009,193500,VinylSd
4500,Mitchel,TwnhsE,1998,1998,443.0,1237,Y,1337,0,1337,1,0,2,0,2,1,5,0,Attchd,1998.0,2,405,3,2006,153500,VinylSd
10206,Somerst,1Fam,2007,2007,468.0,1563,Y,1563,0,1563,0,0,2,0,3,1,6,1,Attchd,2007.0,3,758,10,2008,245000,VinylSd
8892,NAmes,1Fam,1960,1960,66.0,1065,Y,1065,0,1065,0,0,1,1,3,1,6,0,Detchd,1974.0,2,461,7,2007,126500,MetalSd
8530,Gilbert,1Fam,1995,1996,22.0,384,Y,804,670,1474,0,0,2,1,3,1,7,1,BuiltIn,1995.0,2,400,5,2009,168500,HdBoard
16059,NoRidge,1Fam,1991,1992,284.0,1288,Y,1301,1116,2417,0,0,2,1,4,1,9,1,Attchd,1991.0,2,462,4,2006,260000,HdBoard
11911,Gilbert,1Fam,2005,2005,0.0,684,Y,684,876,1560,0,0,2,1,3,1,6,1,BuiltIn,2005.0,2,400,3,2009,174000,VinylSd
3951,Somerst,TwnhsE,2009,2009,76.0,612,Y,612,612,1224,0,0,2,1,2,1,4,0,Detchd,2009.0,2,528,6,2009,164500,VinylSd
8470,IDOTRR,1Fam,1915,1982,0.0,1013,N,1013,0,1526,0,0,1,0,2,1,6,0,0,0.0,0,0,10,2009,85000,Plywood
8070,CollgCr,1Fam,1994,1995,0.0,990,Y,990,0,990,1,0,1,0,3,1,5,0,0,0.0,0,0,8,2007,123600,VinylSd
7200,NAmes,1Fam,1950,1950,0.0,0,Y,1040,0,1040,0,0,1,0,2,1,4,0,Detchd,1950.0,2,420,7,2006,109900,BrkFace
8500,NAmes,1Fam,1961,1961,203.0,1235,Y,1235,0,1235,0,0,1,0,2,1,6,0,Attchd,1961.0,2,480,12,2006,98600,HdBoard
13360,Crawfor,1Fam,1921,2006,0.0,876,Y,964,0,964,1,0,1,0,2,1,5,0,Detchd,1921.0,2,432,8,2009,163500,Wd Sdng
9337,CollgCr,1Fam,1997,1997,0.0,824,Y,905,881,1786,1,0,2,1,3,1,7,0,Attchd,1997.0,2,684,5,2007,204750,VinylSd
9765,Gilbert,1Fam,1993,1993,68.0,680,Y,680,790,1470,0,0,2,1,3,1,6,1,BuiltIn,1993.0,2,420,4,2009,185000,VinylSd
10264,CollgCr,1Fam,1999,1999,183.0,1588,Y,1588,0,1588,0,0,2,0,3,1,6,0,Attchd,1999.0,2,472,8,2006,214000,VinylSd
10921,Edwards,1Fam,1965,1965,48.0,960,Y,960,0,960,1,0,1,0,3,1,6,0,Attchd,1965.0,1,432,5,2007,94750,HdBoard
10625,Edwards,1Fam,1920,1950,0.0,458,N,835,0,835,0,0,1,0,2,1,5,0,Basment,1920.0,1,366,5,2010,83000,Wd Sdng
9320,NAmes,1Fam,1959,1959,0.0,950,Y,1225,0,1225,1,0,1,1,3,1,6,0,0,0.0,0,0,1,2010,128950,Plywood
10603,NWAmes,1Fam,1977,2001,28.0,1610,Y,1610,0,1610,1,0,2,0,3,1,6,2,Attchd,1977.0,2,480,2,2010,205000,Plywood
9206,SawyerW,1Fam,1985,1985,336.0,741,Y,977,755,1732,0,0,2,1,3,1,7,1,Attchd,1985.0,2,476,6,2010,178000,HdBoard
10402,CollgCr,1Fam,2009,2009,0.0,1226,Y,1226,0,1226,0,0,2,0,3,1,6,0,Attchd,2009.0,3,740,5,2010,198900,VinylSd
7758,IDOTRR,1Fam,1931,1950,600.0,1040,Y,1226,592,1818,0,0,1,1,4,1,7,2,Detchd,1951.0,1,240,6,2007,169500,Stucco
9375,Somerst,1Fam,2003,2004,768.0,1053,Y,1053,939,1992,0,0,2,1,3,1,9,1,Attchd,2003.0,2,648,8,2008,250000,VinylSd
6000,OldTown,1Fam,1948,1950,0.0,789,Y,789,0,789,0,0,1,0,2,1,5,0,Detchd,1948.0,1,250,4,2008,115000,VinylSd
8500,IDOTRR,1Fam,1919,2005,0.0,793,N,997,520,1517,0,0,2,0,3,1,7,0,0,0.0,0,0,8,2007,115000,CemntBd
11751,NWAmes,1Fam,1977,1977,480.0,1844,Y,1844,0,1844,0,0,2,0,3,1,7,1,Attchd,1977.0,2,546,1,2010,190000,Plywood
9525,Edwards,1Fam,1954,1972,0.0,994,Y,1216,639,1855,0,0,2,0,4,1,7,0,Attchd,1954.0,1,325,10,2006,136900,Wd Sdng
7750,Gilbert,1Fam,2000,2000,0.0,384,Y,774,656,1430,0,0,2,1,3,1,7,1,BuiltIn,2000.0,2,400,4,2010,180000,VinylSd
7259,Crawfor,1Fam,1945,2002,0.0,1028,Y,1436,884,2320,1,0,2,1,3,1,9,1,Detchd,1945.0,1,180,7,2007,259500,Wd Sdng
3230,Somerst,TwnhsE,1999,1999,1129.0,729,Y,729,729,1458,0,0,2,1,2,1,5,1,Detchd,1999.0,2,440,6,2007,176000,MetalSd
11616,Sawyer,1Fam,1962,1962,116.0,1092,Y,1092,0,1092,0,1,1,0,3,1,6,1,Attchd,1962.0,1,288,9,2009,139000,Wd Sdng
8536,Edwards,1Fam,2006,2007,0.0,1125,Y,1125,0,1125,0,0,1,1,2,1,5,0,Attchd,2007.0,2,430,4,2007,155000,VinylSd
8461,CollgCr,1Fam,2005,2006,0.0,728,Y,728,728,1456,0,0,2,1,3,1,8,1,Attchd,2005.0,2,390,7,2006,163990,VinylSd
21453,ClearCr,1Fam,1969,1969,0.0,938,Y,988,0,988,1,0,1,0,1,1,4,2,Attchd,1969.0,2,540,10,2006,180000,Plywood
6060,IDOTRR,1Fam,1939,1950,0.0,732,Y,772,351,1123,0,0,1,0,3,1,4,0,Detchd,1979.0,1,264,6,2007,100000,AsbShng
9464,NAmes,1Fam,1958,1958,135.0,1080,Y,1080,0,1080,0,0,1,0,3,1,5,0,Attchd,1958.0,1,288,6,2008,136000,MetalSd
7892,SawyerW,TwnhsE,1993,1993,0.0,1199,Y,1199,0,1199,0,0,2,0,2,1,5,0,Attchd,1993.0,2,530,3,2008,153900,Plywood
17043,NWAmes,1Fam,1979,1998,0.0,1362,Y,1586,0,1586,0,0,2,0,3,1,7,1,Attchd,1979.0,2,435,1,2009,181000,HdBoard
6780,IDOTRR,2fmCon,1935,1982,0.0,520,N,520,0,754,1,0,1,0,2,1,5,0,0,0.0,0,0,6,2006,84500,Wd Sdng
4928,NPkVill,TwnhsE,1976,1976,0.0,1078,Y,958,0,958,0,0,2,0,2,1,5,1,Attchd,1977.0,2,440,2,2007,128000,Plywood
4388,OldTown,1Fam,1930,1950,0.0,672,Y,840,0,840,0,0,1,0,3,1,5,1,0,0.0,0,0,6,2007,87000,WdShing
7590,NAmes,1Fam,1966,1966,266.0,660,Y,660,688,1348,0,0,1,1,3,1,6,1,Attchd,1966.0,2,453,7,2006,155000,VinylSd
8973,NAmes,1Fam,1958,1991,85.0,1008,Y,1053,0,1053,0,1,1,1,3,1,6,0,2Types,1998.0,2,750,7,2006,150000,Plywood
14200,NAmes,1Fam,1966,1966,309.0,924,Y,1216,941,2157,0,0,2,1,4,1,8,2,Attchd,1966.0,2,487,5,2006,226000,MetalSd
12224,Gilbert,1Fam,2000,2000,40.0,992,Y,1022,1032,2054,1,0,2,1,3,1,7,1,BuiltIn,2000.0,2,390,7,2009,244000,VinylSd
7388,NAmes,1Fam,1959,2002,0.0,1063,Y,1327,0,1327,1,0,1,0,3,1,7,0,Detchd,1974.0,2,624,7,2007,150750,MetalSd
6853,Timber,1Fam,2001,2002,136.0,1267,Y,1296,0,1296,1,0,2,0,2,1,6,0,Attchd,2001.0,2,471,6,2009,220000,VinylSd
10335,Sawyer,1Fam,1968,1993,0.0,1461,Y,1721,0,1721,0,0,2,1,3,1,7,1,Attchd,1968.0,2,440,7,2006,180000,Plywood
10400,NWAmes,1Fam,1970,1970,288.0,1304,Y,1682,0,1682,0,0,2,0,3,1,7,1,Attchd,1970.0,2,530,5,2008,174000,Plywood
10355,NAmes,1Fam,1967,1967,196.0,1214,Y,1214,0,1214,0,0,2,0,3,1,5,1,Attchd,1967.0,1,318,7,2007,143000,MetalSd
9066,CollgCr,1Fam,1999,2000,320.0,1004,Y,1004,848,1852,0,0,2,1,3,1,7,2,Attchd,1999.0,3,660,12,2008,230000,VinylSd
15426,CollgCr,1Fam,1997,1997,0.0,928,Y,928,836,1764,1,0,2,1,3,1,7,0,Attchd,1997.0,2,470,8,2009,231500,VinylSd
10500,NAmes,1Fam,1971,1971,0.0,864,Y,864,0,864,0,0,1,0,3,1,5,1,0,0.0,0,0,4,2010,115000,HdBoard
11645,CollgCr,1Fam,2005,2005,0.0,1734,Y,1734,0,1734,1,0,2,0,3,1,7,0,Attchd,2005.0,2,660,1,2006,260000,VinylSd
8520,NAmes,1Fam,1952,1952,0.0,910,Y,910,475,1385,0,0,2,0,4,1,6,0,Detchd,2000.0,2,720,6,2010,166000,BrkFace
10335,CollgCr,1Fam,1999,1999,183.0,1490,Y,1501,0,1501,1,0,2,0,3,1,6,0,Attchd,1999.0,2,577,6,2009,204000,VinylSd
2522,Edwards,Twnhs,2004,2006,50.0,970,Y,970,739,1709,0,0,2,0,3,1,7,0,Detchd,2004.0,2,380,4,2006,130000,VinylSd
6120,BrkSide,1Fam,1931,1993,0.0,715,Y,875,0,875,1,0,1,0,2,1,5,0,Detchd,1931.0,1,180,11,2009,105000,Wd Sdng
9505,Gilbert,1Fam,2001,2001,180.0,884,Y,884,1151,2035,0,0,2,1,3,1,8,1,BuiltIn,2001.0,2,434,5,2010,222500,VinylSd
7500,SawyerW,1Fam,2004,2005,120.0,1080,Y,1080,0,1080,1,0,1,0,3,1,6,0,0,0.0,0,0,4,2008,141000,VinylSd
6240,BrkSide,1Fam,1936,1950,0.0,896,Y,896,448,1344,0,0,1,0,3,1,7,0,Detchd,1936.0,1,240,4,2006,115000,MetalSd
10356,CollgCr,1Fam,1975,1975,0.0,969,Y,969,0,969,0,0,1,1,3,1,5,0,Attchd,1975.0,2,440,1,2007,122000,HdBoard
13891,NridgHt,1Fam,2007,2008,436.0,1710,Y,1710,0,1710,1,0,2,0,2,1,6,1,Attchd,2007.0,3,866,1,2008,372402,VinylSd
14803,NWAmes,1Fam,1971,1971,252.0,825,Y,1097,896,1993,0,0,2,1,4,1,8,1,Attchd,1971.0,2,495,6,2006,190000,HdBoard
13500,ClearCr,1Fam,1960,1975,0.0,1602,Y,1252,0,1252,1,0,1,0,1,1,4,1,Attchd,1960.0,2,564,3,2008,235000,BrkFace
11340,OldTown,1Fam,1923,1950,0.0,1200,Y,1200,0,1200,0,0,1,0,4,1,7,0,Detchd,1923.0,1,312,3,2006,125000,Wd Sdng
9600,Edwards,1Fam,1924,1950,0.0,572,N,572,524,1096,0,0,1,0,2,1,5,0,0,0.0,0,0,4,2008,79000,Wd Sdng
7200,NAmes,1Fam,1950,1950,0.0,0,Y,1040,0,1040,0,0,1,0,2,1,5,0,Detchd,1950.0,2,625,6,2006,109500,Wd Sdng
12003,Timber,1Fam,2009,2010,84.0,774,Y,774,1194,1968,0,0,2,1,4,1,8,1,BuiltIn,2009.0,3,680,5,2010,269500,VinylSd
12552,Somerst,1Fam,2004,2005,0.0,991,Y,991,956,1947,0,0,2,1,3,1,8,1,Attchd,2004.0,2,678,5,2010,254900,VinylSd
19378,Gilbert,1Fam,2005,2006,456.0,1392,Y,1392,1070,2462,1,0,2,1,4,1,9,1,Attchd,2006.0,2,576,3,2006,320000,VinylSd
11120,Veenker,1Fam,1984,1984,0.0,1232,Y,1232,0,1232,0,0,2,0,3,1,6,0,Attchd,1984.0,2,516,6,2008,162500,Plywood
12182,NridgHt,1Fam,2005,2005,226.0,1541,Y,1541,0,1541,0,0,2,0,3,1,7,1,Attchd,2005.0,2,532,5,2010,220000,VinylSd
5500,OldTown,1Fam,1956,1956,0.0,882,Y,882,0,882,0,0,1,0,1,1,4,0,0,0.0,0,0,4,2007,103200,MetalSd
5400,OldTown,1Fam,1926,2004,0.0,1149,Y,1149,467,1616,0,0,2,0,3,1,5,0,Detchd,1926.0,1,216,10,2007,152000,MetalSd
10708,ClearCr,1Fam,1955,1993,0.0,1617,Y,1867,0,1867,1,0,1,0,2,1,7,3,Attchd,1955.0,1,303,11,2009,190000,Wd Sdng
10562,NridgHt,1Fam,2007,2007,300.0,1582,Y,1610,551,2161,1,0,1,1,3,1,8,1,Attchd,2007.0,3,789,11,2007,325624,VinylSd
8244,Gilbert,1Fam,2004,2004,0.0,840,Y,840,880,1720,0,0,2,1,3,1,7,1,Attchd,2004.0,2,440,5,2007,183500,VinylSd
16669,Timber,1Fam,1981,1981,653.0,1686,Y,1707,0,1707,0,0,2,1,2,1,6,1,Attchd,1981.0,2,511,1,2006,228000,Plywood
12358,OldTown,1Fam,1941,1950,0.0,720,Y,854,0,1382,0,0,1,1,2,1,7,0,Detchd,1991.0,2,660,5,2007,128500,MetalSd
5306,StoneBr,TwnhsE,1987,1987,0.0,1064,Y,1064,703,1767,1,0,2,0,2,1,5,1,Attchd,1987.0,2,504,6,2006,239000,HdBoard
10197,NAmes,1Fam,1961,1961,491.0,1362,Y,1362,0,1362,1,0,1,1,3,1,6,1,Attchd,1961.0,2,504,6,2008,163000,WdShing
12416,Timber,1Fam,1986,1986,132.0,1606,Y,1651,0,1651,1,0,2,0,3,1,7,1,Attchd,1986.0,2,616,11,2008,184000,VinylSd
10029,ClearCr,1Fam,1988,1989,268.0,1151,Y,1164,896,2060,0,1,2,1,4,1,8,1,Attchd,1988.0,2,521,9,2007,211000,Plywood
13650,Sawyer,1Fam,1958,1958,0.0,1052,Y,1252,668,1920,1,0,2,0,4,1,8,1,Attchd,1958.0,2,451,7,2006,172500,MetalSd
8520,OldTown,1Fam,1923,2006,0.0,968,Y,968,0,968,0,0,1,0,2,1,5,0,Detchd,1935.0,2,480,7,2007,100000,Wd Sdng
2117,Somerst,Twnhs,2000,2000,456.0,756,Y,769,756,1525,0,0,2,1,3,1,5,1,Detchd,2000.0,2,440,6,2007,177000,MetalSd
7588,Crawfor,1Fam,1920,1950,0.0,793,Y,901,901,1802,0,0,1,1,4,1,9,1,Detchd,1920.0,1,216,7,2006,200100,Stucco
9060,Edwards,1Fam,1957,2006,98.0,0,Y,1340,0,1340,0,0,1,0,3,1,7,1,Attchd,1957.0,1,252,6,2007,120000,Wd Sdng
11426,OldTown,1Fam,2003,2003,0.0,1362,Y,1362,720,2082,0,0,2,1,3,1,6,0,Detchd,2003.0,2,484,6,2008,200000,VinylSd
7438,BrkSide,1Fam,1908,1991,0.0,504,Y,936,316,1252,0,0,1,0,3,1,5,0,Attchd,1986.0,2,576,6,2006,127000,AsbShng
9947,Mitchel,1Fam,1990,1991,0.0,1188,Y,1217,0,1217,1,0,2,0,3,1,6,0,Attchd,1990.0,2,497,6,2009,173000,HdBoard
10410,OldTown,1Fam,1916,1987,0.0,660,Y,808,704,1656,0,0,2,1,3,1,8,0,Detchd,1916.0,1,180,8,2009,135000,HdBoard
7472,NAmes,1Fam,1972,2004,138.0,725,Y,725,754,1479,1,0,1,1,4,1,7,0,Attchd,1972.0,2,484,6,2007,184000,HdBoard
9017,CollgCr,1Fam,1999,1999,0.0,1431,Y,1431,0,1431,1,0,2,0,3,1,6,0,Attchd,1999.0,2,666,9,2009,192000,VinylSd
2522,Edwards,Twnhs,2004,2004,50.0,970,Y,970,739,1709,0,0,2,0,3,1,7,0,Detchd,2004.0,2,380,5,2006,130000,VinylSd
7180,CollgCr,1Fam,1972,1972,0.0,864,Y,864,0,864,0,0,1,0,3,1,5,0,Detchd,1989.0,1,352,5,2008,127000,HdBoard
2280,NPkVill,Twnhs,1976,1976,0.0,855,Y,855,601,1456,0,0,2,1,3,1,7,1,Attchd,1976.0,2,440,7,2009,148500,Plywood
9416,Somerst,1Fam,2007,2007,205.0,1726,Y,1726,0,1726,1,0,2,0,3,1,8,1,Attchd,2007.0,3,786,9,2007,311872,CemntBd
